group,group_key,point_index,bias_value,bias_percent,bias_quantile,Omega_m_raw,Omega_m_unit,Omega_b_raw,Omega_b_unit,h_raw,h_unit,n_s_raw,n_s_unit,A_raw,A_unit
Sobol32 baseline,sobol32,0,0.0004721014881077891,0.04721014881077891,0.7969970703125,0.3067007936537266,0.4168799603357912,0.05767081450670958,0.883540725335479,0.6746738329529762,0.37336916476488113,0.9603882617503405,0.5048532718792564,2.49796080365777,0.9974510045722126
Sobol32 baseline,sobol32,1,0.00037662918356352805,0.037662918356352805,0.197174072265625,0.34152143776416777,0.6345089860260484,0.04126375686377287,0.06318784318864354,0.7538129005581141,0.7690645027905705,0.9272374571859837,0.09046821482479599,1.736353312432766,0.04544164054095745
Sobol32 baseline,sobol32,2,0.0003744477580182871,0.037444775801828714,0.181671142578125,0.3727186851203442,0.829491782002151,0.050209436491131784,0.5104718245565892,0.628371155448258,0.14185577724128978,0.9946445571631193,0.933056964538991,1.9074184618890286,0.25927307736128585
Sobol32 baseline,sobol32,3,0.00041339789847145584,0.041339789847145585,0.4764404296875,0.25784692496061323,0.11154328100383273,0.048802763894200324,0.4401381947100162,0.749331276677549,0.7466563833877446,0.9577468040585518,0.4718350507318977,2.270768481492996,0.713460601866245
Sobol32 baseline,sobol32,4,0.00037685025676181713,0.03768502567618171,0.198516845703125,0.2703742007911205,0.18983875494450322,0.052994049508124585,0.6497024754062294,0.7970103619620205,0.9850518098101021,0.9405247554183006,0.2565594427287572,2.1208881475031376,0.526110184378922
Sobol32 baseline,sobol32,5,0.0003758535227412128,0.03758535227412128,0.191436767578125,0.39519240111112597,0.9699525069445372,0.04658700378611684,0.32935018930584203,0.680737836100161,0.40368918050080516,0.9874159126728773,0.8426989084109664,2.0572972759604453,0.4466215949505567
Sobol32 baseline,sobol32,6,0.00039481298401438655,0.03948129840143866,0.33447265625,0.3290440572798252,0.5565253579989076,0.05553316986188292,0.776658493094146,0.7061826329678297,0.5309131648391483,0.9344716043770314,0.1808950547128916,1.886430486291647,0.2330381078645588
Sobol32 baseline,sobol32,7,0.0005295284628462256,0.05295284628462256,0.954010009765625,0.2841796237230301,0.27612264826893795,0.044126504417508844,0.2063252208754422,0.6223559699952602,0.11177984997630115,0.9776097095757723,0.7201213696971538,2.3478820979595185,0.8098526224493982
Sobol32 baseline,sobol32,8,0.0004342689955013157,0.04342689955013157,0.616241455078125,0.29482265874743463,0.3426416171714664,0.0515651424229145,0.5782571211457253,0.7185486799106002,0.592743399553001,0.9813079859316349,0.7663498241454365,1.7820090129971504,0.10251126624643808
Sobol32 baseline,sobol32,9,0.00042097755861659656,0.042097755861659654,0.53045654296875,0.33961142629384994,0.622571414336562,0.04797180786728859,0.3985903933644297,0.6099929617717862,0.04996480885893105,0.9456951720267535,0.32118965033441793,2.4461524672806263,0.9326905841007829
Sobol32 baseline,sobol32,10,0.0004151612064148415,0.04151612064148415,0.489776611328125,0.38583598628640176,0.9114749142900108,0.05910441536456346,0.9552207682281733,0.7847526330500841,0.9237631652504205,0.9736880627274513,0.6711007840931417,2.2225757211446764,0.6532196514308455
Sobol32 baseline,sobol32,11,0.00043190813255791527,0.04319081325579153,0.602935791015625,0.26094208657741547,0.1308880411088467,0.040511461086571214,0.025573054328560666,0.6930169135332107,0.4650845676660535,0.9393307422846556,0.24163427855819497,1.961761759966612,0.327202199958265
Sobol32 baseline,sobol32,12,0.0004845157636075611,0.04845157636075611,0.838226318359375,0.24849300876259803,0.05308130476623772,0.05628600118681788,0.8143000593408942,0.6406472899019718,0.20323644950985925,0.9214800351113082,0.01850043889135151,2.011840410530567,0.389800513163209
Sobol32 baseline,sobol32,13,0.0004350383664258071,0.04350383664258071,0.62091064453125,0.36328422486782075,0.7705264054238796,0.042692673783749344,0.13463368918746715,0.7370704140514135,0.6853520702570673,0.9658331939578056,0.5729149244725704,2.1724985904991625,0.5906232381239531
Sobol32 baseline,sobol32,14,0.0003981094185003542,0.03981094185003542,0.360107421875,0.35216685697436334,0.7010428560897708,0.053824470583349465,0.6912235291674733,0.6623137945309281,0.31156897265464045,0.9535531020909548,0.41941377613693454,2.3962737053632734,0.8703421317040918
Sobol32 baseline,sobol32,15,0.00040880397662702416,0.04088039766270242,0.443145751953125,0.3172656258940697,0.4829101618379356,0.04523152822628617,0.26157641131430853,0.7661821080371738,0.8309105401858689,0.999150768071413,0.9893846008926626,1.8318893067538737,0.16486163344234223
Sobol32 baseline,sobol32,16,0.0004609767022633482,0.04609767022633482,0.751708984375,0.31423337757587433,0.4639586098492145,0.05450486173853278,0.725243086926639,0.6024519897997379,0.012259948998689648,0.9311893419921399,0.139866774901748,2.290471553057432,0.73808944132179
Sobol32 baseline,sobol32,17,0.00038324693505989416,0.03832469350598942,0.24249267578125,0.3587950767576695,0.7424692297354342,0.04591161062940955,0.2955805314704775,0.7190155234187842,0.5950776170939207,0.9768270287662745,0.7103378595784308,1.925116690993309,0.2813958637416364
Sobol32 baseline,sobol32,18,0.0004593992490844593,0.04593992490844593,0.744720458984375,0.36508981913328176,0.7818113695830109,0.05696547316387296,0.8482736581936481,0.6944542163982987,0.47227108199149365,0.9438043844699859,0.29755480587482386,1.7061053939163684,0.00763174239546055
Sobol32 baseline,sobol32,19,0.0005070854493032085,0.05070854493032085,0.90045166015625,0.24059388443827628,0.003711777739226831,0.04337245451286435,0.16862272564321762,0.7777914954349399,0.8889574771746991,0.9881963440030813,0.8524543000385164,2.465805323421955,0.9572566542774438
