bin_id,q_lo,q_hi,n,kun_quantile_mean,kun_bias_mean,sobol32_error_median,sobol32_error_q25,sobol32_error_q75,ppr32_error_median,ppr32_error_q25,ppr32_error_q75,ppr32_minus_sobol32_improvement_median,ppr32_minus_sobol32_improvement_q25,ppr32_minus_sobol32_improvement_q75,final_method_error_median,final_method_error_q25,final_method_error_q75,top_quartile_fraction,enrichment_lift
1,0.0,0.2,14,0.1381859604593202,0.00032504261961948186,0.020633770275385512,0.009803632487366695,0.021756243687158953,0.01718243893327568,0.008361299454229957,0.03466611021743497,-0.004450589367111065,-0.02047032511398642,0.011399256272398642,0.011247931811541514,0.0059991184195778546,0.016383814931948192,0.07142857142857142,0.2857142857142857
2,0.2,0.4,40,0.3153671197688109,0.0003626256973933407,0.01355937065756889,0.004477241153002718,0.024281818775395266,0.014695172570246186,0.007500870402990637,0.05357972004665559,-0.004096619983253008,-0.015964257401598098,0.014735803178979193,0.008978705893043264,0.004144599187284027,0.021242718679653827,0.25,1.0
3,0.4,0.6000000000000001,76,0.4984564858576926,0.00039932639259356815,0.01699793009378868,0.008697396471265663,0.034394440225001745,0.016413381867079076,0.008625733005261302,0.03583340066620877,0.0012512413040574421,-0.012802726624666014,0.013229149795389526,0.012898406376466168,0.006519487356308138,0.025347299093575283,0.2894736842105263,1.1578947368421053
4,0.6000000000000001,0.8,93,0.7082422698150187,0.000452148493039178,0.011680178455701285,0.007413955813728795,0.027421584764201062,0.010990662138145996,0.006075532375868895,0.029841018059196426,0.0001494468433739047,-0.011335090543628605,0.010453456971076882,0.0071115040739392794,0.0032420742451097963,0.019425924107686027,0.23655913978494625,0.946236559139785
5,0.8,1.0,33,0.8538753693414937,0.0005122782504267047,0.013867443304951604,0.005635308902907272,0.028851038675746402,0.013896738047455311,0.00673802817360393,0.0208104572750709,0.0007004298288218885,-0.014459722776846297,0.016461666088290146,0.005737375272297114,0.0029445433680046307,0.009613799458367309,0.2727272727272727,1.0909090909090908
