design,label,validation_sample_count,k_count,overall_p68_relative_error,reduction_vs_sobol32_percent,reduction_vs_sobol64_percent
ppr32,PPR cold start (32 pts),256,475,0.021250639332790127,6.007343192254503,-11.60961684171083
sobol32,Sobol32 (32 pts),256,475,0.022608829300629962,0.0,-18.742911023357305
sobol64,Sobol64 (64 pts),256,475,0.019040150781028685,15.784446298163,0.0
ppr32_plus_z2_active32,This method (64 pts),256,475,0.014901304004758833,34.090775746873234,21.737468488924655
