count_bin,count_low,count_high,n,bias_se_x1e4_p25,bias_se_x1e4_p50,bias_se_x1e4_p75
2-4,2,4,1552,0.6309856588222232,1.0989486203367531,1.8612591507319582
5-9,5,9,1105,0.6143013682298982,0.8537261473451113,1.1710566488671421
10-19,10,19,1162,0.48155581832586297,0.6148342765851327,0.7925490120937473
20-49,20,49,1945,0.33482314233713445,0.4037575763212276,0.5053243578761765
50-99,50,99,2458,0.22134014599105317,0.26353814573444045,0.3160133320071091
100-149,100,149,2928,0.16833323730818972,0.19533830079056388,0.22744576029878694
150-211,150,211,850,0.147901874618574,0.165884822162921,0.190716468233905
