k_band,k_range,sobol_baseline_p68,this_method_p68,reduction_vs_sobol_percent
low,0.015 \leq k < 0.07,0.01327879737191438,0.013245675604621858,0.24943348681994854
mid,0.07 \leq k < 0.5,0.01724424043661781,0.014877892166619234,13.72254277418726
focus high,0.5 \leq k < 1.0,0.021698432281408577,0.016971761551105947,21.78346651500941
tail,1.0 \leq k \leq 3.0,0.019130728810037124,0.014622220716634713,23.56683918407216
