panel_order,param_x,param_y,x_unit,y_unit,x_raw,y_raw,bias_value,bias_x1e4
0,Omega_m,n_s,0.0,0.0,0.24,0.92,0.0005755009072209616,5.755009072209616
0,Omega_m,n_s,0.011764705882352941,0.0,0.24188235294117647,0.92,0.0005755289248518623,5.755289248518623
0,Omega_m,n_s,0.023529411764705882,0.0,0.24376470588235294,0.92,0.000572199787878408,5.72199787878408
0,Omega_m,n_s,0.03529411764705882,0.0,0.2456470588235294,0.92,0.0005724764516437768,5.724764516437768
0,Omega_m,n_s,0.047058823529411764,0.0,0.2475294117647059,0.92,0.0005707319376540429,5.707319376540429
0,Omega_m,n_s,0.058823529411764705,0.0,0.24941176470588233,0.92,0.0005696770833506338,5.696770833506338
0,Omega_m,n_s,0.07058823529411765,0.0,0.25129411764705883,0.92,0.0005718780034903132,5.718780034903133
0,Omega_m,n_s,0.08235294117647059,0.0,0.2531764705882353,0.92,0.0005710338018744115,5.710338018744115
0,Omega_m,n_s,0.09411764705882353,0.0,0.2550588235294118,0.92,0.0005721763447628276,5.721763447628277
0,Omega_m,n_s,0.10588235294117647,0.0,0.25694117647058823,0.92,0.0005707014463252742,5.707014463252742
0,Omega_m,n_s,0.11764705882352941,0.0,0.2588235294117647,0.92,0.0005690793278565383,5.6907932785653825
0,Omega_m,n_s,0.12941176470588234,0.0,0.2607058823529412,0.92,0.000569342825084111,5.69342825084111
0,Omega_m,n_s,0.1411764705882353,0.0,0.2625882352941176,0.92,0.0005682419818381175,5.682419818381175
0,Omega_m,n_s,0.15294117647058825,0.0,0.2644705882352941,0.92,0.0005659404653755622,5.659404653755622
0,Omega_m,n_s,0.16470588235294117,0.0,0.26635294117647057,0.92,0.0005645658805586478,5.645658805586478
0,Omega_m,n_s,0.1764705882352941,0.0,0.26823529411764707,0.92,0.0005635867292881733,5.635867292881733
0,Omega_m,n_s,0.18823529411764706,0.0,0.2701176470588235,0.92,0.0005625467894546478,5.625467894546478
0,Omega_m,n_s,0.2,0.0,0.272,0.92,0.0005599583018284385,5.599583018284385
0,Omega_m,n_s,0.21176470588235294,0.0,0.27388235294117647,0.92,0.0005583460557318935,5.5834605573189355
0,Omega_m,n_s,0.22352941176470587,0.0,0.2757647058823529,0.92,0.0005557698387434855,5.557698387434855
0,Omega_m,n_s,0.23529411764705882,0.0,0.2776470588235294,0.92,0.000549925061132988,5.49925061132988
0,Omega_m,n_s,0.24705882352941178,0.0,0.27952941176470586,0.92,0.0005407517373314217,5.407517373314217
0,Omega_m,n_s,0.2588235294117647,0.0,0.28141176470588236,0.92,0.0005303806766421198,5.303806766421198
0,Omega_m,n_s,0.27058823529411763,0.0,0.2832941176470588,0.92,0.0005276509147856036,5.276509147856036
0,Omega_m,n_s,0.2823529411764706,0.0,0.2851764705882353,0.92,0.0005232090831593522,5.2320908315935215
0,Omega_m,n_s,0.29411764705882354,0.0,0.28705882352941176,0.92,0.0005171362100305175,5.171362100305175
0,Omega_m,n_s,0.3058823529411765,0.0,0.28894117647058826,0.92,0.0005097349459967061,5.09734945996706
0,Omega_m,n_s,0.3176470588235294,0.0,0.2908235294117647,0.92,0.0005079758264248222,5.0797582642482215
0,Omega_m,n_s,0.32941176470588235,0.0,0.29270588235294115,0.92,0.0005022149295415378,5.022149295415378
0,Omega_m,n_s,0.3411764705882353,0.0,0.29458823529411765,0.92,0.0004999257777137781,4.999257777137781
0,Omega_m,n_s,0.3529411764705882,0.0,0.2964705882352941,0.92,0.0004921794425627573,4.921794425627573
0,Omega_m,n_s,0.36470588235294116,0.0,0.2983529411764706,0.92,0.0004905250128864226,4.9052501288642265
0,Omega_m,n_s,0.3764705882352941,0.0,0.30023529411764704,0.92,0.0004884975599918142,4.884975599918142
0,Omega_m,n_s,0.38823529411764707,0.0,0.30211764705882355,0.92,0.00048266699875524775,4.826669987552478
0,Omega_m,n_s,0.4,0.0,0.304,0.92,0.0004817568917336178,4.817568917336178
0,Omega_m,n_s,0.4117647058823529,0.0,0.3058823529411765,0.92,0.0004749923232299476,4.749923232299476
0,Omega_m,n_s,0.4235294117647059,0.0,0.30776470588235294,0.92,0.0004710125627037598,4.710125627037598
0,Omega_m,n_s,0.43529411764705883,0.0,0.3096470588235294,0.92,0.0004692961015928825,4.692961015928825
0,Omega_m,n_s,0.44705882352941173,0.0,0.3115294117647059,0.92,0.0004631274415928168,4.631274415928168
0,Omega_m,n_s,0.4588235294117647,0.0,0.3134117647058824,0.92,0.00046003568306940044,4.600356830694004
0,Omega_m,n_s,0.47058823529411764,0.0,0.31529411764705884,0.92,0.0004477718513673966,4.477718513673966
