k_h_per_mpc,sobol_baseline_p68_k,this_method_p68_k,improvement_fraction
0.01507912203669548,0.01537093161877077,0.015153518242121057,0.014144450189617042
0.02144790254533291,0.014200362093583286,0.015074817357723404,-0.061579786372859976
0.02783660776913166,0.013658597827630636,0.013237589765552338,0.030823666337595822
0.03435099869966507,0.013300630664127766,0.01219102082124759,0.08342535560158289
0.040478866547346115,0.013193062551986911,0.012037833056107373,0.08756340624683516
0.04676716774702072,0.012943104262390426,0.012753350221123406,0.014660628348517567
0.05308225005865097,0.012624922340784916,0.012488047264441129,0.010841656894918948
0.05945362523198128,0.012195449958397653,0.013637420768242281,-0.11823842619695246
0.06576225161552429,0.012797815209986487,0.012824007994813624,-0.0020466606524133816
0.07196632772684097,0.013493063777351776,0.012212653934625539,0.09489392949253056
0.07827860862016678,0.013677252521025673,0.01214879114675549,0.1117520768093241
0.08470398932695389,0.013610806563272383,0.011940764313924082,0.1226997269842016
0.0909685492515564,0.013314951293342592,0.011711951075740412,0.12039099372475148
0.09720789641141891,0.013265547028832404,0.011686636071581314,0.11902343369778559
0.10347630083560944,0.01347767612434474,0.011698282223242163,0.1320252753283228
0.10975764691829681,0.013851157238003188,0.011757835153237695,0.1511297611308664
0.11605431139469147,0.014040655968497398,0.012289632741841095,0.12471092736585962
0.12236696481704712,0.014686154865702995,0.012688074831849949,0.13605195179571616
0.1286817193031311,0.014959304350540936,0.012813753358184599,0.14342585337390726
0.13495008647441864,0.015213286941367254,0.013034330056656685,0.1432272258525311
0.14119495451450348,0.015237344099055396,0.013164298158420752,0.13605034625182202
0.14751335978507996,0.015358510912765345,0.013402565173740567,0.12735256367849296
0.15378651022911072,0.015800517847001382,0.013131932559777914,0.16889226752336547
0.16006575524806976,0.016138083674620243,0.013058447758278559,0.19083033515217865
0.16639912128448486,0.01595643994445959,0.013360516038810033,0.16268816319212334
0.1727195680141449,0.015902709939303452,0.013573433084563912,0.14647043577036803
0.17897652089595795,0.015892371438762008,0.013458248218306657,0.15316299583323648
0.18523536622524261,0.016036103430487402,0.013601811966429534,0.1518006836642036
0.19148068130016327,0.01634262679188352,0.013826921663269065,0.1539351758227671
0.19778898358345032,0.016785919052318476,0.013970205950420622,0.1677425640575186
0.20409376919269562,0.016936540301088644,0.014025617020080849,0.17187236762992775
0.21039393544197083,0.017014469857949036,0.01446237689123735,0.14999544434934986
0.21669097244739532,0.01728519867803837,0.014614485353347995,0.1545086854039831
0.22297002375125885,0.017108809476831157,0.014419784591831464,0.15717194633800707
0.22926200926303864,0.017073518704162495,0.014518055791799035,0.14967406289486437
0.23551414906978607,0.01731840389657742,0.014477912389231528,0.16401577906998974
0.24179105460643768,0.01744798115759194,0.014552999296462988,0.16592073518312417
0.2480856478214264,0.017571705979854003,0.014610848568988066,0.16850142008183874
0.2543492317199707,0.01770648483434796,0.014691647591511559,0.17026740604030358
0.2606334388256073,0.017953391970004253,0.014921058597746307,0.16890030459560162
0.26692572236061096,0.018105931233965446,0.015114374672546615,0.1652252249697537
0.273242324590683,0.018241375713106224,0.015175175215475002,0.16809041959637902
0.27955296635627747,0.018304124898572385,0.01527895987825847,0.16527231086310282
0.2858366370201111,0.018272070384128637,0.01540616191721318,0.15684640036220648
0.2920876145362854,0.018245243715890046,0.01546021743487538,0.1526439615925298
0.2983449697494507,0.018437634543058735,0.015575616296873563,0.15522697553752327
0.3046382665634155,0.01854032154838565,0.015526850667484294,0.16253606352171102
0.3109279274940491,0.018445352876311372,0.015657319374592273,0.1511509983254188
0.31721681356430054,0.018444614886700482,0.015710260897709685,0.148246737911693
0.3235187530517578,0.018589407356336317,0.015807827456457747,0.14963252171298785
0.3298168182373047,0.018649327179598486,0.01588075295514426,0.14845437574192594
0.3361176550388336,0.018685854641478095,0.01597497790295077,0.1450764115712337
0.34237003326416016,0.018770719948033542,0.016127177793210334,0.14083328514525897
0.3486478328704834,0.018782085814049346,0.016154107193766556,0.13991942355608947
0.35494115948677063,0.018904459289895238,0.01621556911408342,0.14223576218596623
0.36119168996810913,0.01899807405165035,0.01633204569187252,0.1403315068953652
0.3674767017364502,0.019018324185594796,0.016460092201898258,0.13451405911117242
0.3737647831439972,0.019069166612235813,0.01658196182578884,0.13043070192962958
0.3800654113292694,0.019116453515174284,0.016583388891921746,0.1325070375235573
0.386353999376297,0.019125289573702145,0.016532690896994894,0.13555866261351424
0.3926140069961548,0.019088682816269388,0.016632112664875146,0.12869249151651754
0.39892643690109253,0.019198030658082767,0.0166926051723838,0.1305042965250256
0.4052073359489441,0.019330545963262627,0.01672588284738925,0.1347433808038063
0.41149166226387024,0.01942674874884605,0.016789076921243318,0.13577525821243808
0.41778141260147095,0.01954084197504562,0.016880971497448004,0.1361185194063986
0.4240400791168213,0.019632234443429143,0.016864215330246624,0.14099358486975322
0.43034255504608154,0.01974350039071884,0.016832857964944294,0.147422816024194
0.4366358518600464,0.019883518012384773,0.016814176510979186,0.1543661186865321
0.442899614572525,0.020011991418847797,0.01684750192081217,0.15812966494954772
0.44916343688964844,0.02006105542981911,0.016902484466616463,0.15744789571278936
0.455441415309906,0.02003330449429024,0.016947092504866992,0.154054064835028
0.4617634415626526,0.020039481707874885,0.01692270353505354,0.1555318754375044
0.46806442737579346,0.020114174136316176,0.01693896200256584,0.15785943346376258
0.4743485152721405,0.02024874171683888,0.016975325119803198,0.16166024747668667
0.4806356132030487,0.02037873234827421,0.01704050869577354,0.16380919065279215
0.4869019389152527,0.020488770653373626,0.017082172440980183,0.16626659891048767
0.4931696951389313,0.02057449654055388,0.017066346637299203,0.17050963537989133
0.49945068359375,0.020634091640284073,0.017067168650783948,0.1728655204058703
0.5057159066200256,0.020690762222002414,0.017068502112810302,0.17506653792291063
0.5119923949241638,0.02072594454110859,0.01708970924774298,0.17544364678547555
0.5183126330375671,0.020769115441386713,0.017088043417716883,0.17723778530955347
0.5246089696884155,0.020828814185587644,0.01706684409889694,0.18061374273019215
0.5308757424354553,0.020872152297463756,0.01705979979189889,0.18265258183403144
0.5371573567390442,0.020918260451487706,0.017075583128399872,0.18369965953906758
0.5434579849243164,0.020960696863208474,0.017095239462436428,0.18441454623376283
0.5497430562973022,0.02100106005437623,0.017120428750513117,0.1847826392484632
0.5559937357902527,0.021062982155432765,0.01714264232568492,0.18612463329351842
0.5622854828834534,0.0211204833131871,0.01714969848551735,0.18800634288470527
0.568601131439209,0.021189626976737364,0.017139505396122634,0.19113699288152078
0.5748804807662964,0.0212394135326464,0.017122152084758157,0.1938500534188356
0.581155002117157,0.021269416123111062,0.017110461361903483,0.1955368561663766
0.5874394774436951,0.0213027552335761,0.017105951603039515,0.19700755064405184
0.593717634677887,0.021338596651557618,0.017104730103400502,0.198413542244263
0.5999972224235535,0.021377648188936327,0.017106244066988043,0.19980701732002887
0.6062679290771484,0.02142219333447497,0.017106971541711948,0.20143697358096796
0.612546980381012,0.02147408638336872,0.017111867961335816,0.20313872004405087
0.6188477873802185,0.021516542067631983,0.017109655189172648,0.2048138992133292
0.6251310706138611,0.021562447399706343,0.01710382902965608,0.2067770085371192
0.6314027309417725,0.021600292219326134,0.017094074348805166,0.20861837537962477
0.6377003788948059,0.021630700918301972,0.01708139949770344,0.21031687497233698
0.6439858078956604,0.021655254168906436,0.017066830970160974,0.21188498472272477
0.6502685546875,0.021682490043902724,0.017079461365761127,0.21229243822187308
0.656558632850647,0.021702356721842887,0.017096935860707974,0.2122083292686674
0.6628369092941284,0.02171521616532752,0.01707801818533459,0.21354601974430737
0.6691185235977173,0.02172960085379132,0.01706837349142687,0.21451049164353028
0.6754069924354553,0.021733278999917706,0.017058647812149295,0.21509092980337258
0.6816835403442383,0.021743713565875476,0.017042396121040682,0.21621501914065996
0.6879592537879944,0.021755318800138302,0.017022383752230842,0.2175530081350668
0.6942344307899475,0.021761612065125037,0.017016419074339373,0.21805337658740215
0.7005175352096558,0.021754893318912404,0.017002700829721197,0.21844246347372043
0.7068125009536743,0.021762267149183147,0.01698513872849663,0.21951428074743704
0.7131019234657288,0.021768315596215927,0.01698116938201948,0.21991348816298018
0.7193918228149414,0.021768381601274457,0.01704137791336462,0.21714998269017338
0.7256833910942078,0.021764769335282753,0.01707815590950115,0.21533025935561648
0.7319652438163757,0.021778286764882894,0.017108839091893382,0.21440840243314796
0.7382507920265198,0.021763650985434646,0.017111102528357125,0.21377610127047367
0.7445265650749207,0.02177387281695391,0.017091400512905808,0.21505004384898233
0.7507871389389038,0.02176978738379427,0.017087326930923342,0.21508985688838725
0.757075846195221,0.021783437835859988,0.017072611096704174,0.2162572673171372
0.7633641362190247,0.021770849973606454,0.017062576610157844,0.21626502268660208
0.7696462869644165,0.021774883836721725,0.017053957324456206,0.21680604809032444
0.7759394645690918,0.02177649971520026,0.01703587352164815,0.217694590753862
0.782232940196991,0.021781912206161325,0.017031412795036418,0.21809377276716596
0.788531482219696,0.02178117888113831,0.01701153897566972,0.21897987852250378
0.7947896718978882,0.02178129381957348,0.01700652489065646,0.21921420134492808
0.8010491132736206,0.021775047036034233,0.016986089338281076,0.21992869589802472
0.8073363900184631,0.021779095861668596,0.01698069146150947,0.22032156112616053
0.8136229515075684,0.02178057622009564,0.01696399980243868,0.22114090871539904
0.8199152946472168,0.021781882656058692,0.01695094092366565,0.2217871525925838
0.826195240020752,0.021781329761391088,0.016930964855260022,0.22268451739474016
0.8324897289276123,0.021780249529630157,0.01692362784335373,0.22298283036975358
0.8387959599494934,0.021784542557376562,0.016912933709244782,0.22362685997655626
0.8450634479522705,0.021794120307410993,0.016896477515132124,0.22472312363135147
